
================================================================================
TCN TRAINING DATA REAL 100% - 2026-05-06 14:52:08
Total sample: 6 | Epoch: 100 | Batch: 4
COMPRESSION_FACTOR: 1× → 150000 pts/hari
================================================================================
Epoch    1/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    2/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    3/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    4/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    5/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    6/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    7/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    8/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    9/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   10/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   11/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   12/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   13/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   14/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   15/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   16/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   17/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   18/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   19/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   20/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   21/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   22/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   23/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   24/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   25/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   26/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   27/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   28/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   29/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   30/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   31/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   32/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   33/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   34/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   35/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   36/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   37/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   38/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   39/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   40/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   41/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   42/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   43/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   44/100 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
