
============================================================
STAGE 1 TCN FORECASTER | 2026-05-08 14:06:07
Window: 6 | Epoch: 100 | Batch: 4
============================================================
Epoch    1/100 | MSE: 0.9643233 | LR: 1.00e-03
Epoch    2/100 | MSE: 0.5635412 | LR: 1.00e-03
Epoch    3/100 | MSE: 0.4384088 | LR: 1.00e-03
Epoch    4/100 | MSE: 0.3944179 | LR: 1.00e-03
Epoch    5/100 | MSE: 0.3949415 | LR: 1.00e-03
Epoch    6/100 | MSE: 0.3663325 | LR: 1.00e-03
Epoch    7/100 | MSE: 0.3691763 | LR: 1.00e-03
Epoch    8/100 | MSE: 0.3424958 | LR: 1.00e-03
Epoch    9/100 | MSE: 0.3160955 | LR: 1.00e-03
Epoch   10/100 | MSE: 0.2830519 | LR: 1.00e-03
Epoch   11/100 | MSE: 0.2425868 | LR: 1.00e-03
Epoch   12/100 | MSE: 0.2150592 | LR: 1.00e-03
Epoch   13/100 | MSE: 0.2003107 | LR: 1.00e-03
Epoch   14/100 | MSE: 0.1744590 | LR: 1.00e-03
Epoch   15/100 | MSE: 0.1405358 | LR: 1.00e-03
Epoch   16/100 | MSE: 0.1273371 | LR: 1.00e-03
Epoch   17/100 | MSE: 0.1208016 | LR: 1.00e-03
Epoch   18/100 | MSE: 0.1100325 | LR: 1.00e-03
Epoch   19/100 | MSE: 0.1040163 | LR: 1.00e-03
Epoch   20/100 | MSE: 0.1008963 | LR: 1.00e-03
Epoch   21/100 | MSE: 0.0815422 | LR: 1.00e-03
Epoch   22/100 | MSE: 0.0782875 | LR: 1.00e-03
Epoch   23/100 | MSE: 0.0710388 | LR: 1.00e-03
Epoch   24/100 | MSE: 0.0815871 | LR: 1.00e-03
Epoch   25/100 | MSE: 0.0744563 | LR: 1.00e-03
Epoch   26/100 | MSE: 0.0665343 | LR: 1.00e-03
Epoch   27/100 | MSE: 0.0657978 | LR: 1.00e-03
Epoch   28/100 | MSE: 0.0818956 | LR: 1.00e-03
Epoch   29/100 | MSE: 0.0620320 | LR: 1.00e-03
Epoch   30/100 | MSE: 0.0570871 | LR: 1.00e-03
Epoch   31/100 | MSE: 0.0644821 | LR: 1.00e-03
Epoch   32/100 | MSE: 0.0560750 | LR: 1.00e-03
Epoch   33/100 | MSE: 0.0520195 | LR: 1.00e-03
Epoch   34/100 | MSE: 0.0505852 | LR: 1.00e-03
Epoch   35/100 | MSE: 0.0477533 | LR: 1.00e-03
Epoch   36/100 | MSE: 0.0471085 | LR: 1.00e-03
Epoch   37/100 | MSE: 0.0506375 | LR: 1.00e-03
Epoch   38/100 | MSE: 0.0473121 | LR: 1.00e-03
Epoch   39/100 | MSE: 0.0495413 | LR: 1.00e-03
Epoch   40/100 | MSE: 0.0480680 | LR: 1.00e-03
Epoch   41/100 | MSE: 0.0453376 | LR: 1.00e-03
Epoch   42/100 | MSE: 0.0526224 | LR: 1.00e-03
Epoch   43/100 | MSE: 0.0415302 | LR: 1.00e-03
Epoch   44/100 | MSE: 0.0531850 | LR: 1.00e-03
Epoch   45/100 | MSE: 0.0580051 | LR: 1.00e-03
Epoch   46/100 | MSE: 0.0502241 | LR: 1.00e-03
Epoch   47/100 | MSE: 0.0586493 | LR: 1.00e-03
Epoch   48/100 | MSE: 0.0479261 | LR: 1.00e-03
Epoch   49/100 | MSE: 0.0490778 | LR: 1.00e-03
Epoch   50/100 | MSE: 0.0480055 | LR: 1.00e-03
   → Checkpoint: checkpoints_stage1\checkpoint_epoch_50.pth
Epoch   51/100 | MSE: 0.0421673 | LR: 1.00e-03
Epoch   52/100 | MSE: 0.0460030 | LR: 1.00e-03
Epoch   53/100 | MSE: 0.0510224 | LR: 1.00e-03
Epoch   54/100 | MSE: 0.0470414 | LR: 1.00e-03
Epoch   55/100 | MSE: 0.0479146 | LR: 1.00e-03
Epoch   56/100 | MSE: 0.0462479 | LR: 1.00e-03
Epoch   57/100 | MSE: 0.0503690 | LR: 1.00e-03
Epoch   58/100 | MSE: 0.0546911 | LR: 1.00e-03
Epoch   59/100 | MSE: 0.0452582 | LR: 1.00e-03
Epoch   60/100 | MSE: 0.0426369 | LR: 1.00e-03
Epoch   61/100 | MSE: 0.0447304 | LR: 1.00e-03
Epoch   62/100 | MSE: 0.0655464 | LR: 1.00e-03
Epoch   63/100 | MSE: 0.0438857 | LR: 1.00e-03
Epoch   64/100 | MSE: 0.0483813 | LR: 1.00e-03
Epoch   65/100 | MSE: 0.0569553 | LR: 1.00e-03
Epoch   66/100 | MSE: 0.0409177 | LR: 1.00e-03
Epoch   67/100 | MSE: 0.0405503 | LR: 1.00e-03
Epoch   68/100 | MSE: 0.0484597 | LR: 1.00e-03
Epoch   69/100 | MSE: 0.0450178 | LR: 1.00e-03
Epoch   70/100 | MSE: 0.0403703 | LR: 1.00e-03
Epoch   71/100 | MSE: 0.0381714 | LR: 1.00e-03
Epoch   72/100 | MSE: 0.0484304 | LR: 1.00e-03
Epoch   73/100 | MSE: 0.0457715 | LR: 1.00e-03
Epoch   74/100 | MSE: 0.0396919 | LR: 1.00e-03
Epoch   75/100 | MSE: 0.0411053 | LR: 1.00e-03
