
================================================================================
TCN TRAINING DATA REAL 100% - 2025-11-19 12:11:45
Total sample: 6 | Epoch: 1000 | Batch: 4
COMPRESSION_FACTOR: 1× → 150000 pts/hari
================================================================================
Epoch    1/1000 | Loss: 2.990266 | MSE(Forecast): 0.9055430 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    2/1000 | Loss: 1.336245 | MSE(Forecast): 0.7210582 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    3/1000 | Loss: 0.628596 | MSE(Forecast): 0.5058275 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    4/1000 | Loss: 0.479593 | MSE(Forecast): 0.4558226 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    5/1000 | Loss: 0.410107 | MSE(Forecast): 0.3993351 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    6/1000 | Loss: 0.384582 | MSE(Forecast): 0.3817529 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    7/1000 | Loss: 0.346619 | MSE(Forecast): 0.3463473 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    8/1000 | Loss: 0.327239 | MSE(Forecast): 0.3271149 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    9/1000 | Loss: 0.291684 | MSE(Forecast): 0.2916260 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   10/1000 | Loss: 0.259300 | MSE(Forecast): 0.2592931 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   11/1000 | Loss: 0.215347 | MSE(Forecast): 0.2153159 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   12/1000 | Loss: 0.206316 | MSE(Forecast): 0.2063093 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   13/1000 | Loss: 0.176968 | MSE(Forecast): 0.1769591 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   14/1000 | Loss: 0.160875 | MSE(Forecast): 0.1608698 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   15/1000 | Loss: 0.131474 | MSE(Forecast): 0.1314706 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   16/1000 | Loss: 0.131367 | MSE(Forecast): 0.1313660 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   17/1000 | Loss: 0.125710 | MSE(Forecast): 0.1257083 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   18/1000 | Loss: 0.107963 | MSE(Forecast): 0.1079620 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   19/1000 | Loss: 0.100662 | MSE(Forecast): 0.1006570 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   20/1000 | Loss: 0.100849 | MSE(Forecast): 0.1008445 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   21/1000 | Loss: 0.104494 | MSE(Forecast): 0.1044915 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   22/1000 | Loss: 0.079821 | MSE(Forecast): 0.0798201 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   23/1000 | Loss: 0.091694 | MSE(Forecast): 0.0916871 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   24/1000 | Loss: 0.085020 | MSE(Forecast): 0.0850173 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   25/1000 | Loss: 0.079476 | MSE(Forecast): 0.0794749 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   26/1000 | Loss: 0.072068 | MSE(Forecast): 0.0720675 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   27/1000 | Loss: 0.061207 | MSE(Forecast): 0.0611876 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   28/1000 | Loss: 0.061779 | MSE(Forecast): 0.0617779 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   29/1000 | Loss: 0.053167 | MSE(Forecast): 0.0531651 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   30/1000 | Loss: 0.062866 | MSE(Forecast): 0.0628637 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   31/1000 | Loss: 0.051510 | MSE(Forecast): 0.0515095 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   32/1000 | Loss: 0.052697 | MSE(Forecast): 0.0526966 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   33/1000 | Loss: 0.062243 | MSE(Forecast): 0.0622422 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   34/1000 | Loss: 0.060460 | MSE(Forecast): 0.0604603 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   35/1000 | Loss: 0.053362 | MSE(Forecast): 0.0533610 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   36/1000 | Loss: 0.054275 | MSE(Forecast): 0.0542725 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   37/1000 | Loss: 0.059312 | MSE(Forecast): 0.0593095 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   38/1000 | Loss: 0.053396 | MSE(Forecast): 0.0533947 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   39/1000 | Loss: 0.056031 | MSE(Forecast): 0.0560284 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   40/1000 | Loss: 0.060113 | MSE(Forecast): 0.0601123 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   41/1000 | Loss: 0.051877 | MSE(Forecast): 0.0518757 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   42/1000 | Loss: 0.055881 | MSE(Forecast): 0.0558805 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   43/1000 | Loss: 0.061432 | MSE(Forecast): 0.0614280 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   44/1000 | Loss: 0.054097 | MSE(Forecast): 0.0540964 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   45/1000 | Loss: 0.052163 | MSE(Forecast): 0.0521608 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   46/1000 | Loss: 0.051226 | MSE(Forecast): 0.0512253 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   47/1000 | Loss: 0.047747 | MSE(Forecast): 0.0477472 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   48/1000 | Loss: 0.048832 | MSE(Forecast): 0.0488315 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   49/1000 | Loss: 0.055475 | MSE(Forecast): 0.0554730 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   50/1000 | Loss: 0.046516 | MSE(Forecast): 0.0465150 | Acc(Class): 100.00% | LR: 1.00e-03
   → Checkpoint: checkpoints_21param_TCN\checkpoint_epoch_50.pth
Epoch   51/1000 | Loss: 0.039384 | MSE(Forecast): 0.0393837 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   52/1000 | Loss: 0.047880 | MSE(Forecast): 0.0478793 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   53/1000 | Loss: 0.047231 | MSE(Forecast): 0.0472311 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   54/1000 | Loss: 0.051142 | MSE(Forecast): 0.0511383 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   55/1000 | Loss: 0.050653 | MSE(Forecast): 0.0506524 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   56/1000 | Loss: 0.043141 | MSE(Forecast): 0.0431380 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   57/1000 | Loss: 0.039885 | MSE(Forecast): 0.0398844 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   58/1000 | Loss: 0.050835 | MSE(Forecast): 0.0508318 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   59/1000 | Loss: 0.039909 | MSE(Forecast): 0.0399000 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   60/1000 | Loss: 0.042660 | MSE(Forecast): 0.0426604 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   61/1000 | Loss: 0.040923 | MSE(Forecast): 0.0409233 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   62/1000 | Loss: 0.037685 | MSE(Forecast): 0.0376845 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   63/1000 | Loss: 0.049578 | MSE(Forecast): 0.0495782 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   64/1000 | Loss: 0.043092 | MSE(Forecast): 0.0430907 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   65/1000 | Loss: 0.043312 | MSE(Forecast): 0.0433114 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   66/1000 | Loss: 0.054001 | MSE(Forecast): 0.0540001 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   67/1000 | Loss: 0.040390 | MSE(Forecast): 0.0403872 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   68/1000 | Loss: 0.038510 | MSE(Forecast): 0.0385093 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   69/1000 | Loss: 0.037929 | MSE(Forecast): 0.0379281 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   70/1000 | Loss: 0.038633 | MSE(Forecast): 0.0386323 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   71/1000 | Loss: 0.042223 | MSE(Forecast): 0.0422227 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   72/1000 | Loss: 0.043683 | MSE(Forecast): 0.0436819 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   73/1000 | Loss: 0.053582 | MSE(Forecast): 0.0535816 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   74/1000 | Loss: 0.035404 | MSE(Forecast): 0.0354031 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   75/1000 | Loss: 0.040566 | MSE(Forecast): 0.0405652 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   76/1000 | Loss: 0.048624 | MSE(Forecast): 0.0486242 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   77/1000 | Loss: 0.053064 | MSE(Forecast): 0.0530639 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   78/1000 | Loss: 0.053750 | MSE(Forecast): 0.0537504 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   79/1000 | Loss: 0.052705 | MSE(Forecast): 0.0527039 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   80/1000 | Loss: 0.060993 | MSE(Forecast): 0.0609922 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   81/1000 | Loss: 0.060557 | MSE(Forecast): 0.0605572 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   82/1000 | Loss: 0.038450 | MSE(Forecast): 0.0384503 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   83/1000 | Loss: 0.050000 | MSE(Forecast): 0.0499997 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   84/1000 | Loss: 0.047934 | MSE(Forecast): 0.0479341 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   85/1000 | Loss: 0.034542 | MSE(Forecast): 0.0345411 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   86/1000 | Loss: 0.042639 | MSE(Forecast): 0.0426379 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   87/1000 | Loss: 0.044471 | MSE(Forecast): 0.0444707 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   88/1000 | Loss: 0.063160 | MSE(Forecast): 0.0631572 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   89/1000 | Loss: 0.047450 | MSE(Forecast): 0.0474497 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   90/1000 | Loss: 0.034311 | MSE(Forecast): 0.0343105 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   91/1000 | Loss: 0.051969 | MSE(Forecast): 0.0519681 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   92/1000 | Loss: 0.041996 | MSE(Forecast): 0.0419961 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   93/1000 | Loss: 0.048743 | MSE(Forecast): 0.0487431 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   94/1000 | Loss: 0.050620 | MSE(Forecast): 0.0506198 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   95/1000 | Loss: 0.040834 | MSE(Forecast): 0.0408336 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   96/1000 | Loss: 0.057031 | MSE(Forecast): 0.0570305 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   97/1000 | Loss: 0.042040 | MSE(Forecast): 0.0420391 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   98/1000 | Loss: 0.046032 | MSE(Forecast): 0.0460324 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   99/1000 | Loss: 0.042012 | MSE(Forecast): 0.0420114 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  100/1000 | Loss: 0.046561 | MSE(Forecast): 0.0465607 | Acc(Class): 100.00% | LR: 1.00e-03
   → Checkpoint: checkpoints_21param_TCN\checkpoint_epoch_100.pth
Epoch  101/1000 | Loss: 0.040439 | MSE(Forecast): 0.0404382 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  102/1000 | Loss: 0.053067 | MSE(Forecast): 0.0530664 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  103/1000 | Loss: 0.033357 | MSE(Forecast): 0.0333549 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  104/1000 | Loss: 0.033311 | MSE(Forecast): 0.0333109 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  105/1000 | Loss: 0.038223 | MSE(Forecast): 0.0382230 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  106/1000 | Loss: 0.030967 | MSE(Forecast): 0.0309658 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  107/1000 | Loss: 0.038609 | MSE(Forecast): 0.0386040 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  108/1000 | Loss: 0.046291 | MSE(Forecast): 0.0462909 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  109/1000 | Loss: 0.035801 | MSE(Forecast): 0.0358006 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  110/1000 | Loss: 0.038379 | MSE(Forecast): 0.0383785 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  111/1000 | Loss: 0.033628 | MSE(Forecast): 0.0336273 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  112/1000 | Loss: 0.042538 | MSE(Forecast): 0.0425378 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  113/1000 | Loss: 0.044152 | MSE(Forecast): 0.0441498 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  114/1000 | Loss: 0.043714 | MSE(Forecast): 0.0437136 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  115/1000 | Loss: 0.031390 | MSE(Forecast): 0.0313894 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  116/1000 | Loss: 0.042887 | MSE(Forecast): 0.0428806 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  117/1000 | Loss: 0.037757 | MSE(Forecast): 0.0377511 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch  118/1000 | Loss: 0.028706 | MSE(Forecast): 0.0287047 | Acc(Class): 100.00% | LR: 1.00e-03
