
============================================================
STAGE 1 TCN FORECASTER | 2026-05-13 18:07:29
Window: 6 | Epoch: 250 | Batch: 4
============================================================
Epoch   94/250 | MSE: 0.0377236 | LR: 1.00e-03
Epoch   95/250 | MSE: 0.0362950 | LR: 1.00e-03
Epoch   96/250 | MSE: 0.0492227 | LR: 1.00e-03
Epoch   97/250 | MSE: 0.0361563 | LR: 1.00e-03
Epoch   98/250 | MSE: 0.0350056 | LR: 1.00e-03
Epoch   99/250 | MSE: 0.0423025 | LR: 1.00e-03
Epoch  100/250 | MSE: 0.0408074 | LR: 1.00e-03
   → Checkpoint: checkpoints_stage1\checkpoint_epoch_100.pth
Epoch  101/250 | MSE: 0.0483175 | LR: 1.00e-03
Epoch  102/250 | MSE: 0.0371827 | LR: 1.00e-03
Epoch  103/250 | MSE: 0.0381600 | LR: 1.00e-03
Epoch  104/250 | MSE: 0.0388476 | LR: 1.00e-03
Epoch  105/250 | MSE: 0.0326950 | LR: 1.00e-03
Epoch  106/250 | MSE: 0.0413958 | LR: 1.00e-03
Epoch  107/250 | MSE: 0.0375720 | LR: 1.00e-03
Epoch  108/250 | MSE: 0.0445855 | LR: 1.00e-03
Epoch  109/250 | MSE: 0.0382907 | LR: 1.00e-03
Epoch  110/250 | MSE: 0.0361328 | LR: 1.00e-03
Epoch  111/250 | MSE: 0.0358728 | LR: 1.00e-03
Epoch  112/250 | MSE: 0.0462588 | LR: 1.00e-03
Epoch  113/250 | MSE: 0.0410259 | LR: 1.00e-03
Epoch  114/250 | MSE: 0.0652562 | LR: 1.00e-03
Epoch  115/250 | MSE: 0.0367253 | LR: 1.00e-03
Epoch  116/250 | MSE: 0.0358059 | LR: 1.00e-03
Epoch  117/250 | MSE: 0.0374099 | LR: 1.00e-03
Epoch  118/250 | MSE: 0.0473409 | LR: 1.00e-03
Epoch  119/250 | MSE: 0.0351718 | LR: 1.00e-03
Epoch  120/250 | MSE: 0.0481856 | LR: 1.00e-03
Epoch  121/250 | MSE: 0.0453355 | LR: 1.00e-03
Epoch  122/250 | MSE: 0.0359790 | LR: 1.00e-03
Epoch  123/250 | MSE: 0.0360670 | LR: 1.00e-03
Epoch  124/250 | MSE: 0.0381586 | LR: 1.00e-03
Epoch  125/250 | MSE: 0.0303720 | LR: 1.00e-03
Epoch  126/250 | MSE: 0.0335777 | LR: 1.00e-03
Epoch  127/250 | MSE: 0.0414822 | LR: 1.00e-03
Epoch  128/250 | MSE: 0.0390862 | LR: 1.00e-03
Epoch  129/250 | MSE: 0.0388957 | LR: 1.00e-03
Epoch  130/250 | MSE: 0.0356635 | LR: 1.00e-03
Epoch  131/250 | MSE: 0.0328264 | LR: 1.00e-03
Epoch  132/250 | MSE: 0.0433992 | LR: 1.00e-03
Epoch  133/250 | MSE: 0.0403531 | LR: 1.00e-03
Epoch  134/250 | MSE: 0.0291517 | LR: 1.00e-03
Epoch  135/250 | MSE: 0.0389421 | LR: 1.00e-03
Epoch  136/250 | MSE: 0.0366389 | LR: 1.00e-03
Epoch  137/250 | MSE: 0.0336188 | LR: 1.00e-03
